"itemText","timeCreated","status","timeCompleted","isCompleted","itemID","comment"
"clean up timezone lookup clusterfuck",2017-03-03 20:20:33,"incomplete",NA,FALSE,1,""
"add message for multi-query retrievals, e.g. getFlowData",2017-03-03 20:33:52,"incomplete",NA,FALSE,2,""
